TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
PARD3,20.25,,36.76,5.30,2.10,26.45,13.31,6.98,19.27,19.93,0.66,0.18,2.57,-54.06,-3.28,0.90,14.42,5.70,13.10,0.40,0.60,0.82,13.44,2.56,,3.82,0.55,-1.04,5403493010.25
PATI3,45.71,12.70,13.56,1.41,0.72,12.02,5.81,3.74,8.73,8.72,0.07,0.01,0.51,1.82,-2.58,2.22,10.42,5.32,7.64,0.51,0.49,1.42,14.96,35.25,32241.32,32.34,3.37,0.12,1084915817.33
PATI4,36.90,18.81,10.95,1.14,0.58,12.02,5.81,3.74,7.04,8.72,0.07,0.01,0.41,1.47,-2.09,2.22,10.42,5.32,7.64,0.51,0.49,1.42,14.96,35.25,5265.33,32.34,3.37,0.09,1084915817.33
PCAR3,3.55,,-0.97,0.68,0.09,27.44,-1.00,-9.40,-9.07,-22.74,-13.68,1.03,0.09,-5.86,-0.13,0.95,-70.51,-9.80,-8.30,0.14,0.86,1.04,-19.80,,53576248.19,5.21,-3.67,0.03,1740891727.80
PCAR4,72.11,,-19.65,13.85,1.93,27.44,-1.00,-9.40,-184.18,-22.74,-13.68,1.03,1.85,-119.06,-2.69,0.95,-70.51,-9.80,-8.30,0.14,0.86,1.04,-19.80,,,5.21,-3.67,0.64,1740891727.80
PDGR3,0.16,,-0.01,0.00,0.01,20.48,-68.41,-341.79,-0.05,-4.20,-4.15,,0.03,-0.01,-0.03,0.33,-13.92,-92.82,8.98,-6.67,7.81,0.27,-16.76,,224949.52,-115.52,-16.09,0.00,4750564.80
PDTC3,1.06,,8.38,0.71,0.13,76.76,75.08,53.67,5.99,23.00,17.01,2.03,4.50,0.34,-0.33,2.80,8.52,1.56,3.21,0.18,0.82,0.03,,13.07,35255.24,1.48,0.13,-0.02,84237803.56
PEAB3,35.70,2.28,17.25,0.74,0.52,56.77,33.27,36.01,18.67,18.13,-0.88,-0.03,6.21,3.29,-0.65,6.02,4.30,3.03,3.09,0.70,0.30,0.08,-26.42,-3.02,15037.43,48.11,2.07,0.21,687252139.10
PEAB4,37.00,2.39,17.88,0.77,0.54,56.77,33.27,36.01,19.35,18.13,-0.88,-0.03,6.44,3.41,-0.67,6.02,4.30,3.03,3.09,0.70,0.30,0.08,-26.42,-3.02,45201.33,48.11,2.07,0.22,687252139.10
PETR3,33.85,15.44,5.64,1.09,0.37,49.10,27.00,15.69,3.28,5.57,2.40,0.80,0.88,-10.07,-0.42,0.76,19.38,6.59,7.99,0.34,0.66,0.42,10.18,14.03,319418072.10,30.97,6.00,-3.19,421523585222.76
